,lon,lat
2025,16.8132419,50.5893617
2026,18.7857186,50.3249278
2027,19.9495621,49.299181
2028,23.2519686,50.7230879
2029,19.4166259,50.487743
2030,18.9393251,51.5990328
2031,19.4060704,51.8550576
2032,15.0065645,51.1496361
2033,15.5061862,51.9356214
2034,21.1607239,52.3034398
2035,15.9213852,51.1259316
2036,19.4375834,50.7067994
2037,18.7006401,50.0447236
2038,20.445988,52.048652
2039,19.1823983,49.6912999
2040,-8.2478796,37.0890719
2041,-9.1651047,38.6765238
2042,-8.426507,41.5454486
2043,-8.4102573,40.2033145
2044,-7.9304397,37.0193548
2045,-8.672371,40.602309
2046,-9.1393366,38.7222524
2047,-9.1741095,38.831549
2048,-8.4738078,41.3431376
2049,-9.3816589,38.8028687
2050,-8.7478619,41.3517302
2051,-8.9889932,38.9551563
2052,51.5975524,25.1659314
2053,51.5310398,25.2854473
2054,129.0756416,35.1795543
2055,127.7,36.8
2056,126.8,36.5184
2057,128.601445,35.8714354
2058,127.3845475,36.3504119
2059,128.1555,37.8228
2060,126.8526012,35.1595454
2061,128.8889,36.4919
2062,127.5183,37.4138
2063,128.2132,35.4606
2064,126.7052062,37.4562557
2065,126.5311884,33.4996213
2066,127.153,35.7175
2067,126.991,34.8679
2068,126.9779692,37.566535
2069,129.3113596,35.5383773
2070,23.5690265,46.0823371
2071,25.3282579,43.9750572
2072,21.3122677,46.1865606
2073,26.9145748,46.5670437
2074,23.5849881,47.6567387
2075,26.0126977,44.989028
2076,26.6658127,47.7406537
2077,25.6011977,45.6579755
2078,26.1025384,44.4267674
2079,26.8171122,45.1371109
2080,25.0531038,45.270605
2081,23.6236353,46.7712101
2082,21.1681272,45.8533993
2083,28.6348138,44.1598013
2084,23.7948808,44.3301785
2085,22.9143737,45.8662574
2086,22.6597342,44.6369227
2087,28.0079945,45.4353208
2088,25.9699265,43.9037076
2089,28.05899,46.6758644
2090,27.6014418,47.1584549
2091,28.4607273,45.265423
2092,24.3471665,46.1572828
2093,25.7953655,46.3695574
2094,21.6642348,44.735184
2095,20.7565097,46.1684924
2096,21.9189438,47.0465005
2097,26.3779793,46.9299616
2098,24.8691824,44.8564798
2099,26.0128616,44.936664
2100,23.1543463,44.9000027
2101,25.6328398,45.7034288
2102,22.8575926,47.8016702
2103,26.0641684,47.9552669
2104,24.3716904,44.4301677
2105,26.2732302,47.6634521
2106,21.2086793,45.7488716
2107,22.3103123,45.7829845
2108,23.374199,44.674076
2109,24.4597907,46.4840705
2110,25.4181031,45.6348088
2111,23.5631914,46.7615923
2112,37.6173,55.755826
2113,49.5687416,26.9597709
2114,49.9777136,26.3926665
2115,39.2375507,21.2854067
2116,39.8579118,21.3890824
2117,39.5691841,24.5246542
2118,46.6752957,24.7135517
2119,38.1899782,24.0231757
2120,-17.3660286,14.7645042
2121,20.4489216,44.786568
2122,21.8957589,43.3209022
2123,19.8335496,45.2671352
2124,103.8677444,1.3553794
2125,19.1461917,48.736277
2126,17.1077477,48.1485965
2127,18.5100381,48.6604318
2128,18.7598695,48.7290079
2129,19.9536192,48.5746472
2130,21.9078917,48.932454
2131,21.2610746,48.7163857
2132,17.0182641,48.4363404
2133,18.9190235,49.0616613
2134,18.076376,48.3061414
2135,21.2393119,49.0018324
2136,18.6245383,48.7745206
2137,19.3066002,49.0752393
2138,17.3610002,48.6798645
2139,21.8369439,48.873165
2140,17.5833218,48.3709108
2141,21.1673945,48.5976622
2142,21.6825245,48.8904721
2143,18.8548946,48.5905012
2144,18.7408001,49.2194498
2145,19.1371155,48.5761806
2146,15.2677063,46.2397495
2147,15.0844894,46.1417288
