"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MH_18","PUBLISHED","2010","AMR","WB_HI","USA","24758","24758.00000","","",""
"MH_18","PUBLISHED","2008","WPR","WB_LMI","VUT","0","0.00000","","",""
"MH_14","PUBLISHED","2011","EMR","","AFG","0","0.00000","","",""
"MH_11","PUBLISHED","2011","EMR","","AFG","0","0.00000","","",""
"MH_14","PUBLISHED","2011","EUR","","ALB","0.28","0.28000","","",""
"MH_14","PUBLISHED","2011","EUR","","AND","2.31","2.31000","","",""
"MH_10","PUBLISHED","2011","EMR","","ARE","0.06","0.06000","","",""
"MH_14","PUBLISHED","2011","EUR","","ARM","0","0.00000","","",""
"MH_14","PUBLISHED","2011","EUR","","AUT","3.05","3.05000","","",""
"MH_14","PUBLISHED","2011","AFR","","BDI","0.01","0.01000","","",""
"MH_14","PUBLISHED","2011","SEAR","","BGD","0.01","0.01000","","",""
"MH_14","PUBLISHED","2011","EUR","","BIH","0.05","0.05000","","",""
"MH_10","PUBLISHED","2011","EUR","","BIH","1.36","1.36000","","",""
"MH_10","PUBLISHED","2011","AFR","","CPV","4.68","4.68000","","",""
"MH_14","PUBLISHED","2011","AMR","","CRI","0.75","0.75000","","",""
"MH_14","PUBLISHED","2011","AMR","","DMA","0","0.00000","","",""
"MH_10","PUBLISHED","2011","AMR","","DMA","19.54","19.54000","","",""
"MH_10","PUBLISHED","2011","AMR","","ECU","0.26","0.26000","","",""
"MH_10","PUBLISHED","2011","EUR","","FIN","2.62","2.62000","","",""
"MH_10","PUBLISHED","2011","EUR","","FRA","5.75","5.75000","","",""
"MH_14","PUBLISHED","2011","EUR","","FRA","12.76","12.76000","","",""
"MH_14","PUBLISHED","2011","AFR","","GIN","0","0.00000","","",""
"MH_11","PUBLISHED","2011","AMR","","GTM","0.01","0.01000","","",""
"MH_14","PUBLISHED","2011","AMR","","GUY","0","0.00000","","",""
"MH_11","PUBLISHED","2011","AMR","","GUY","0","0.00000","","",""
"MH_14","PUBLISHED","2011","AMR","","HTI","0","0.00000","","",""
"MH_11","PUBLISHED","2011","EUR","","ISR","0.3","0.30000","","",""
"MH_14","PUBLISHED","2011","AMR","","JAM","0.48","0.48000","","",""
"MH_10","PUBLISHED","2011","AMR","","JAM","5.09","5.09000","","",""
"MH_11","PUBLISHED","2011","EMR","","JOR","0.02","0.02000","","",""
"MH_11","PUBLISHED","2011","EUR","","KGZ","0.07","0.07000","","",""
"MH_11","PUBLISHED","2011","WPR","","KHM","0.01","0.01000","","",""
"MH_14","PUBLISHED","2011","WPR","","KIR","0","0.00000","","",""
"MH_10","PUBLISHED","2011","WPR","","KIR","1","1.00000","","",""
"MH_14","PUBLISHED","2011","AMR","","KNA","0","0.00000","","",""
"MH_10","PUBLISHED","2011","EMR","","LBN","0.24","0.24000","","",""
"MH_11","PUBLISHED","2011","EMR","","MAR","0","0.00000","","",""
"MH_10","PUBLISHED","2011","EUR","","MCO","6.08","6.08000","","",""
"MH_11","PUBLISHED","2011","EUR","","MDA","0.08","0.08000","","",""
"MH_10","PUBLISHED","2011","SEAR","","MDV","0.32","0.32000","","",""
"MH_14","PUBLISHED","2011","EUR","","MKD","0.2","0.20000","","",""
"MH_10","PUBLISHED","2011","EUR","","MLT","0.49","0.49000","","",""
"MH_14","PUBLISHED","2011","WPR","","MNG","0.22","0.22000","","",""
"MH_11","PUBLISHED","2011","WPR","","MNG","0.26","0.26000","","",""
"MH_10","PUBLISHED","2011","AFR","","MUS","0.77","0.77000","","",""
"MH_14","PUBLISHED","2011","EUR","","PRT","0.2","0.20000","","",""
"MH_11","PUBLISHED","2011","EUR","","RUS","0.31","0.31000","","",""
"MH_14","PUBLISHED","2011","EMR","","SAU","0.01","0.01000","","",""
"MH_11","PUBLISHED","2011","WPR","","SLB","0","0.00000","","",""
"MH_11","PUBLISHED","2011","AMR","","SLV","0","0.00000","","",""
"MH_11","PUBLISHED","2011","EUR","","SMR","6.34","6.34000","","",""
"MH_11","PUBLISHED","2011","EMR","","SOM","0.01","0.01000","","",""
"MH_11","PUBLISHED","2011","AMR","","SUR","0.19","0.19000","","",""
"MH_14","PUBLISHED","2011","EUR","","SVK","4.93","4.93000","","",""
"MH_11","PUBLISHED","2011","EUR","","SVN","1.09","1.09000","","",""
"MH_10","PUBLISHED","2011","AFR","","SWZ","0","0.00000","","",""
"MH_11","PUBLISHED","2011","EMR","","SYR","0","0.00000","","",""
"MH_11","PUBLISHED","2011","SEAR","","THA","0","0.00000","","",""
"MH_11","PUBLISHED","2011","EUR","","TJK","0.1","0.10000","","",""
"MH_10","PUBLISHED","2011","EUR","","TJK","0.69","0.69000","","",""
"MH_10","PUBLISHED","2011","AMR","","TTO","2.31","2.31000","","",""
"MH_11","PUBLISHED","2011","EUR","","TUR","0.01","0.01000","","",""
"MH_10","PUBLISHED","2011","AFR","","TZA","0.28","0.28000","","",""
"MH_11","PUBLISHED","2011","AFR","","UGA","0","0.00000","","",""
"MH_11","PUBLISHED","2011","EUR","","UKR","0.23","0.23000","","",""
"MH_14","PUBLISHED","2011","EUR","","UZB","0","0.00000","","",""
"MH_10","PUBLISHED","2011","WPR","","WSM","0.56","0.56000","","",""
"MH_10","PUBLISHED","2011","AFR","","ZAF","6.85","6.85000","","",""
"MH_17","PUBLISHED","2011","EMR","WB_HI","ARE","0.02","0.02000","","",""
"MH_17","PUBLISHED","2011","AMR","WB_HI","BHS","","","","","No data"
"MH_17","PUBLISHED","2011","AMR","WB_LMI","BLZ","0","0.00000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_LI","CAF","0","0.00000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_LMI","CMR","0.01","0.01000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_HI","CYP","0.11","0.11000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_HI","CZE","0.18","0.18000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_HI","DEU","0.33","0.33000","","",""
"MH_17","PUBLISHED","2011","EMR","WB_LMI","DJI","","","","","No data"
"MH_17","PUBLISHED","2011","EUR","WB_HI","GBR","","","","","No data"
"MH_17","PUBLISHED","2011","AMR","WB_UMI","GRD","0.96","0.96000","","",""
"MH_17","PUBLISHED","2011","SEAR","WB_LMI","IDN","0.02","0.02000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_HI","IRL","0.78","0.78000","","",""
"MH_17","PUBLISHED","2011","EMR","WB_LMI","JOR","0.03","0.03000","","",""
"MH_17","PUBLISHED","2011","WPR","WB_HI","JPN","0.84","0.84000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_UMI","KAZ","0.2","0.20000","","",""
"MH_17","PUBLISHED","2011","SEAR","WB_LMI","LKA","0","0.00000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_LMI","LSO","0.05","0.05000","","",""
"MH_17","PUBLISHED","2011","SEAR","WB_LMI","MDV","0","0.00000","","",""
"MH_17","PUBLISHED","2011","WPR","WB_LMI","MNG","0.04","0.04000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_LI","MOZ","0.01","0.01000","","",""
"MH_17","PUBLISHED","2011","AMR","WB_LMI","NIC","0.02","0.02000","","",""
"MH_17","PUBLISHED","2011","WPR","WB_LI","NIU","0","0.00000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_HI","NOR","0.39","0.39000","","",""
"MH_17","PUBLISHED","2011","EMR","WB_LMI","PAK","0","0.00000","","",""
"MH_17","PUBLISHED","2011","AMR","WB_UMI","PER","0.01","0.01000","","",""
"MH_17","PUBLISHED","2011","AMR","WB_LMI","PRY","0.02","0.02000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_UMI","ROU","0.18","0.18000","","",""
"MH_17","PUBLISHED","2011","AMR","WB_LMI","SLV","0.02","0.02000","","",""
"MH_17","PUBLISHED","2011","AFR","WB_LMI","STP","0.6","0.60000","","",""
"MH_17","PUBLISHED","2011","EUR","WB_HI","SVN","0.3","0.30000","","",""
"MH_17","PUBLISHED","2011","WPR","WB_LI","VNM","0.04","0.04000","","",""
