region,region,classification,country,city,pm10,pm25
Amr LMI,Amr,LMI,Brazil,"Itaboraí , REGIÃO METROPOLITANA DO RIO DE JANEIRO",46,18
Amr LMI,Amr,LMI,Brazil,"Itaguaí, REGIÃO METROPOLITANA DO RIO DE JANEIRO",30.5,13.96861563
Amr LMI,Amr,LMI,Brazil,"Jaboticabal, INTERIOR DO ESTADO",38,17.40352112
Amr LMI,Amr,LMI,Brazil,"Jacarei, REGIÃO METROPOLITANA DO VALE DO PARAÍBA E LITORAL NORTE",25,11.44968495
Amr LMI,Amr,LMI,Brazil,"Japeri, REGIÃO METROPOLITANA DO RIO DE JANEIRO",33,15.11358413
Amr LMI,Amr,LMI,Brazil,"Jaú, INTERIOR DO ESTADO",25,11.44968495
Amr LMI,Amr,LMI,Brazil,"Jundiaí, INTERIOR DO ESTADO",30,13.73962193
Amr LMI,Amr,LMI,Brazil,"Limeira – Boa Vista, INTERIOR DO ESTADO",41,18.77748331
Amr LMI,Amr,LMI,Brazil,"Madre de Deus, REGIÃO METROPOLITANA DE SALVADOR",12,5.495848774
Amr LMI,Amr,LMI,Brazil,"Malembá, REGIÃO METROPOLITANA DE SALVADOR",18,8.243773161
Amr LMI,Amr,LMI,Brazil,"Marília, INTERIOR DO ESTADO",22,10.07572275
Amr LMI,Amr,LMI,Brazil,"Paulínia, REGIÃO METROPOLITANA DE CAMPINAS",39.5,18.09050221
Amr LMI,Amr,LMI,Brazil,"Piracicaba, INTERIOR DO ESTADO",38,15
Amr LMI,Amr,LMI,Brazil,"Porto Real, REGIÃO DO MÉDIO PARAÍBA",17,7.785785763
Amr LMI,Amr,LMI,Brazil,"Presidente Prudente, INTERIOR DO ESTADO",21,9.617735354
Amr LMI,Amr,LMI,Brazil,"Quatis, REGIÃO DO MÉDIO PARAÍBA",27,12.36565974
Amr LMI,Amr,LMI,Brazil,REGIÃO METROPOLITANA DE SÃO PAULO,35.33333333,18.625
Amr LMI,Amr,LMI,Brazil,REGIÃO METROPOLITANA DO RIO DE JANEIRO,48.76923077,15.88235294
Amr LMI,Amr,LMI,Brazil,"Resende, REGIÃO DO MÉDIO PARAÍBA",29,13
Amr LMI,Amr,LMI,Brazil,"Rio Claro, INTERIOR DO ESTADO",56,25.64729428
Amr LMI,Amr,LMI,Brazil,"Santa Gertrudes – Jd. Luciana, INTERIOR DO ESTADO",95,43.50880279
Amr LMI,Amr,LMI,Brazil,"Santos, REGIÃO METROPOLITANA DA BAIXADA SANTISTA",39,18
Amr LMI,Amr,LMI,Brazil,"São José do Rio Preto, INTERIOR DO ESTADO",39,16
Amr LMI,Amr,LMI,Brazil,"São José dos Campos, REGIÃO METROPOLITANA DO VALE DO PARAÍBA E LITORAL NORTE",30,13.73962193
Amr LMI,Amr,LMI,Brazil,"Seropédica, REGIÃO METROPOLITANA DO RIO DE JANEIRO",31,15
Amr LMI,Amr,LMI,Brazil,"Sorocaba, REGIÃO METROPOLITANA DE SOROCABA",39,17.86150851
Amr LMI,Amr,LMI,Brazil,"Tatuí, REGIÃO METROPOLITANA DE SOROCABA",24,10.99169755
